lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-NDARAE877NER_acq-HCP_run-02_T1w	971.0	944.0	1008.0	1114.0	653.0	1439.0	867.0	1059.0	492.0	197.0	1266.0	896.0	330.0	933.0	3652.0	5308.0	515.0	519.0	1169.0	1049.0	990.0	2118.0	1062.0	1731.0	2530.0	2722.0	2165.0	1570.0	2182.0	2137.0	786.0	615.0	332.0	1370.0	426.0	864.0	2170.0	2339.0	335.0	316.0	755.0	1300.0	1103.0	1550.0	2322.0	779.0	386.0	1020.0	1181.0	914.0	376.0	2138.0	1250.0	2134.0	643.0	2641.0	468.0	1198.0	569.0	719.0	1498.0	245.0	570.0	1106.0	1274.0	935.0	2091.0	1194.0	1212.0	565.0	967.0	1402.0	4894.0	282.0	94822.8	1270529.0	1567686.008852
sub-NDARDX196MZP_acq-HCP_run-02_T1w	1068.0	1181.0	1072.0	1203.0	505.0	1607.0	789.0	767.0	383.0	231.0	1435.0	1259.0	252.0	986.0	3910.0	5851.0	487.0	457.0	1235.0	1034.0	1199.0	2445.0	1237.0	1616.0	2168.0	1971.0	1725.0	1691.0	2441.0	1889.0	535.0	317.0	349.0	1394.0	482.0	795.0	1686.0	1684.0	219.0	200.0	753.0	1536.0	1145.0	1788.0	2504.0	698.0	355.0	892.0	1211.0	891.0	410.0	1767.0	1276.0	2487.0	405.0	2002.0	821.0	978.0	395.0	556.0	1335.0	444.0	501.0	998.0	1296.0	584.0	1734.0	1271.0	1351.0	447.0	611.0	1241.0	3986.0	193.0	90616.3	1175692.0	1459165.223724
sub-NDARDY741VEB_acq-HCP_run-02_T1w	634.0	1238.0	1123.0	1402.0	461.0	1384.0	993.0	1044.0	350.0	283.0	1509.0	924.0	258.0	840.0	3130.0	5031.0	406.0	553.0	1478.0	1062.0	1290.0	2154.0	1275.0	1839.0	1799.0	2339.0	2150.0	1866.0	2059.0	1696.0	671.0	623.0	312.0	1339.0	515.0	971.0	1650.0	1946.0	225.0	176.0	827.0	1413.0	838.0	1880.0	2472.0	770.0	323.0	930.0	1175.0	599.0	399.0	1498.0	632.0	1981.0	172.0	2003.0	608.0	855.0	401.0	564.0	1814.0	222.0	412.0	1048.0	1860.0	872.0	2552.0	1336.0	933.0	506.0	716.0	878.0	4196.0	418.0	89097.2	1181185.0	1577184.322914
sub-NDARFA089ZZG_acq-HCP_run-02_T1w	1041.0	984.0	1327.0	1272.0	486.0	1819.0	1127.0	1194.0	517.0	279.0	1702.0	923.0	304.0	888.0	4050.0	5005.0	501.0	471.0	2016.0	972.0	1173.0	2369.0	910.0	2007.0	1760.0	2444.0	2625.0	1848.0	1953.0	2087.0	576.0	522.0	363.0	1496.0	702.0	937.0	1897.0	1971.0	320.0	257.0	889.0	1456.0	1025.0	2489.0	2569.0	854.0	460.0	1007.0	1249.0	664.0	481.0	2075.0	1203.0	2354.0	133.0	2178.0	874.0	827.0	434.0	419.0	1296.0	418.0	550.0	1206.0	1951.0	1300.0	2392.0	1369.0	1280.0	674.0	809.0	1117.0	4392.0	279.0	97767.5	1258053.0	1588853.414321
sub-NDARHN078CDT_acq-HCP_run-02_T1w	490.0	459.0	762.0	806.0	328.0	813.0	483.0	611.0	347.0	144.0	690.0	673.0	300.0	595.0	1721.0	2942.0	389.0	492.0	560.0	568.0	431.0	693.0	719.0	1192.0	1113.0	1450.0	1372.0	849.0	1147.0	1182.0	528.0	319.0	249.0	1034.0	355.0	489.0	1027.0	903.0	162.0	43.0	561.0	477.0	737.0	752.0	1115.0	384.0	220.0	776.0	832.0	348.0	77.0	807.0	428.0	1026.0	71.0	901.0	287.0	279.0	150.0	190.0	731.0	94.0	281.0	539.0	731.0	618.0	936.0	604.0	484.0	296.0	381.0	585.0	2147.0	179.0	48454.2	763535.0	1281318.790965
sub-NDARKG697CEW_acq-HCP_run-02_T1w	1041.0	1423.0	1155.0	1100.0	585.0	1606.0	814.0	836.0	352.0	280.0	1390.0	993.0	216.0	753.0	3253.0	5732.0	536.0	555.0	1649.0	978.0	1205.0	2416.0	1276.0	1693.0	1712.0	1941.0	1965.0	1350.0	1615.0	2145.0	702.0	309.0	285.0	1517.0	530.0	571.0	1951.0	1725.0	202.0	260.0	724.0	1726.0	1315.0	1476.0	2005.0	799.0	379.0	1146.0	1153.0	998.0	372.0	1368.0	1094.0	2271.0	103.0	2133.0	949.0	810.0	641.0	707.0	1416.0	325.0	429.0	1178.0	1275.0	428.0	2073.0	1225.0	1011.0	642.0	737.0	1290.0	3931.0	354.0	89103.6	1204862.0	1713453.607491
sub-NDARKM568HJK_acq-HCP_run-02_T1w	872.0	1204.0	1145.0	1217.0	598.0	1533.0	835.0	920.0	317.0	207.0	1552.0	885.0	233.0	858.0	4142.0	5213.0	403.0	399.0	1336.0	878.0	1138.0	1788.0	1338.0	1570.0	1874.0	2695.0	1818.0	1468.0	2049.0	1516.0	575.0	455.0	449.0	1969.0	455.0	1271.0	1480.0	1489.0	148.0	255.0	1003.0	1551.0	998.0	1766.0	2071.0	722.0	302.0	1057.0	1213.0	875.0	347.0	1583.0	1142.0	2555.0	305.0	2050.0	918.0	491.0	259.0	432.0	1281.0	374.0	377.0	861.0	1660.0	820.0	2124.0	1471.0	1027.0	432.0	467.0	855.0	3605.0	248.0	87788.2	1094313.0	1401462.838657
sub-NDARME789TD2_acq-HCP_run-02_T1w	481.0	827.0	971.0	1290.0	694.0	1144.0	731.0	769.0	393.0	215.0	881.0	809.0	283.0	827.0	2710.0	4279.0	462.0	539.0	1178.0	699.0	992.0	1398.0	942.0	1133.0	1411.0	2556.0	1703.0	1624.0	1689.0	1444.0	555.0	608.0	503.0	1785.0	343.0	812.0	1566.0	1945.0	332.0	97.0	1068.0	1020.0	637.0	1033.0	2026.0	490.0	318.0	862.0	1133.0	457.0	276.0	934.0	820.0	1553.0	377.0	1439.0	451.0	669.0	315.0	638.0	1527.0	137.0	240.0	361.0	935.0	750.0	1639.0	743.0	542.0	416.0	563.0	763.0	4053.0	429.0	73234.3	1016868.0	1562108.898126
sub-NDARTR175UDC_acq-HCP_run-02_T1w	847.0	984.0	1077.0	1182.0	569.0	1186.0	702.0	808.0	297.0	200.0	1328.0	999.0	216.0	681.0	3939.0	5128.0	487.0	535.0	1864.0	1085.0	1013.0	1699.0	1103.0	1071.0	1612.0	1816.0	2025.0	1700.0	2104.0	1866.0	696.0	504.0	366.0	1678.0	612.0	843.0	995.0	1947.0	148.0	199.0	911.0	1313.0	1106.0	1378.0	2342.0	685.0	189.0	912.0	1113.0	678.0	253.0	1402.0	1353.0	2195.0	176.0	1834.0	774.0	1152.0	356.0	414.0	1187.0	205.0	309.0	540.0	1869.0	727.0	1719.0	1281.0	928.0	315.0	582.0	738.0	3548.0	291.0	82888.3	1097556.0	1638981.812669
sub-NDARZH521MMD_acq-HCP_run-02_T1w	445.0	1262.0	1065.0	828.0	208.0	1098.0	993.0	837.0	389.0	152.0	825.0	554.0	181.0	374.0	1843.0	5095.0	348.0	228.0	742.0	621.0	1062.0	1588.0	959.0	926.0	1114.0	2436.0	1501.0	1837.0	2637.0	1696.0	572.0	472.0	322.0	955.0	531.0	458.0	1356.0	1175.0	125.0	200.0	877.0	1257.0	614.0	915.0	3239.0	787.0	128.0	758.0	740.0	528.0	175.0	726.0	502.0	1738.0	119.0	1752.0	399.0	485.0	268.0	397.0	1715.0	79.0	314.0	360.0	640.0	649.0	2322.0	619.0	841.0	326.0	625.0	596.0	2268.0	247.0	68014.5	1043664.0	1942132.08464
