lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-NDARCR576EV1_acq-HCP_run-02_T1w	834.0	839.0	1024.0	952.0	400.0	1349.0	798.0	853.0	423.0	196.0	1467.0	821.0	321.0	814.0	2643.0	4828.0	405.0	393.0	1409.0	1068.0	1447.0	2116.0	699.0	1466.0	1885.0	1856.0	1811.0	1675.0	1517.0	1701.0	655.0	421.0	351.0	1328.0	588.0	794.0	1783.0	1660.0	200.0	269.0	844.0	1233.0	1082.0	1797.0	1864.0	833.0	317.0	909.0	1049.0	526.0	352.0	1591.0	1064.0	1829.0	201.0	2114.0	554.0	1018.0	652.0	675.0	1631.0	309.0	533.0	965.0	1712.0	692.0	1975.0	1066.0	866.0	537.0	708.0	1072.0	4045.0	288.0	82958.2	1063763.0	1291548.521728
sub-NDARAV610EY3_acq-HCP_T1w	949.0	1229.0	1236.0	1353.0	613.0	1635.0	855.0	1092.0	600.0	210.0	1538.0	1113.0	399.0	958.0	3779.0	6968.0	531.0	637.0	2085.0	1194.0	1516.0	2298.0	985.0	2178.0	2455.0	3619.0	2876.0	1948.0	2234.0	2645.0	748.0	557.0	512.0	1917.0	765.0	901.0	2377.0	2520.0	318.0	266.0	961.0	1759.0	1295.0	1781.0	2688.0	901.0	518.0	1147.0	1376.0	614.0	452.0	2070.0	1378.0	2831.0	559.0	2965.0	1102.0	1061.0	787.0	931.0	2058.0	382.0	468.0	1253.0	1753.0	934.0	2655.0	1544.0	1299.0	579.0	1317.0	1688.0	6038.0	375.0	112127.0	1448020.0	1850641.112263
sub-NDARAX283MAK_acq-HCP_T1w	835.0	840.0	1004.0	916.0	468.0	1473.0	1009.0	962.0	503.0	169.0	1269.0	1008.0	295.0	699.0	3573.0	4307.0	545.0	469.0	1185.0	889.0	1252.0	2298.0	972.0	1395.0	1677.0	1873.0	2305.0	1667.0	1612.0	1939.0	567.0	311.0	273.0	1348.0	507.0	762.0	1540.0	1602.0	201.0	279.0	830.0	1335.0	1058.0	2085.0	2161.0	804.0	323.0	945.0	1134.0	708.0	426.0	1736.0	1032.0	2649.0	231.0	2506.0	875.0	887.0	552.0	484.0	1307.0	258.0	337.0	828.0	1114.0	1050.0	2443.0	1496.0	892.0	495.0	920.0	806.0	4337.0	236.0	86079.5	1088453.0	1410314.221605
sub-NDARCX053GU5_acq-HCP_T1w	546.0	1199.0	1000.0	846.0	396.0	1264.0	653.0	833.0	407.0	153.0	1330.0	711.0	272.0	535.0	2568.0	4757.0	369.0	422.0	1748.0	780.0	1055.0	1513.0	896.0	1291.0	1697.0	2126.0	1852.0	1449.0	1520.0	1883.0	513.0	362.0	263.0	1363.0	563.0	785.0	1678.0	1671.0	150.0	208.0	753.0	1258.0	1107.0	1526.0	2172.0	825.0	261.0	875.0	944.0	640.0	238.0	1148.0	737.0	1654.0	438.0	2111.0	772.0	841.0	389.0	637.0	1151.0	196.0	328.0	789.0	1314.0	664.0	2037.0	802.0	914.0	350.0	736.0	1322.0	4372.0	131.0	78059.1	1071105.0	1421026.910676
sub-NDAREG013BLG_acq-HCP_T1w	1054.0	1108.0	851.0	857.0	704.0	1295.0	697.0	848.0	466.0	225.0	1314.0	809.0	321.0	636.0	3038.0	4470.0	342.0	423.0	1540.0	975.0	1205.0	2450.0	831.0	1486.0	2048.0	2279.0	2272.0	1732.0	1841.0	1803.0	558.0	558.0	311.0	1230.0	320.0	593.0	1921.0	1750.0	212.0	254.0	688.0	1247.0	947.0	1589.0	2413.0	795.0	313.0	873.0	1065.0	586.0	427.0	1323.0	906.0	2089.0	485.0	2766.0	919.0	996.0	715.0	740.0	1668.0	273.0	464.0	905.0	1327.0	763.0	2737.0	1263.0	816.0	578.0	925.0	1384.0	3965.0	207.0	86784.2	1213739.0	1548960.234395
sub-NDAREG590BNY_acq-HCP_T1w	796.0	1074.0	1134.0	1055.0	666.0	1441.0	812.0	1064.0	360.0	162.0	1435.0	1114.0	207.0	1152.0	2924.0	5065.0	459.0	397.0	1896.0	1243.0	1217.0	2040.0	902.0	1672.0	2667.0	2334.0	2239.0	1826.0	1515.0	2248.0	672.0	556.0	281.0	1424.0	518.0	758.0	1819.0	1951.0	219.0	183.0	719.0	1469.0	987.0	2026.0	1921.0	913.0	316.0	970.0	1202.0	610.0	293.0	1726.0	809.0	1678.0	368.0	2720.0	406.0	1243.0	643.0	679.0	1381.0	250.0	515.0	944.0	1252.0	798.0	2570.0	1119.0	780.0	517.0	749.0	1137.0	4762.0	238.0	90208.7	1152727.0	1404241.55241
sub-NDAREW661NZJ_acq-HCP_T1w	527.0	914.0	1176.0	1126.0	405.0	1228.0	701.0	823.0	338.0	185.0	1511.0	841.0	185.0	783.0	2241.0	3997.0	352.0	374.0	1729.0	931.0	1110.0	2033.0	837.0	1257.0	1963.0	2049.0	2251.0	1699.0	1703.0	1762.0	562.0	438.0	251.0	957.0	278.0	544.0	1085.0	1528.0	165.0	106.0	729.0	1452.0	511.0	1722.0	2288.0	735.0	320.0	858.0	1016.0	396.0	373.0	953.0	742.0	1415.0	2.0	2108.0	677.0	1191.0	410.0	441.0	1499.0	154.0	291.0	627.0	1388.0	789.0	1936.0	1158.0	796.0	273.0	678.0	611.0	3115.0	193.0	74791.8	977075.0	1408955.048901
sub-NDAREX065KJU_acq-HCP_T1w	773.0	1077.0	1115.0	1038.0	378.0	1333.0	796.0	929.0	399.0	192.0	1268.0	595.0	284.0	472.0	3587.0	4447.0	423.0	392.0	1470.0	921.0	1051.0	1768.0	893.0	1158.0	2036.0	2405.0	1704.0	1460.0	2065.0	1633.0	443.0	328.0	361.0	1238.0	369.0	514.0	1686.0	1498.0	134.0	168.0	848.0	1333.0	785.0	1692.0	2391.0	630.0	272.0	991.0	1072.0	544.0	232.0	1070.0	1096.0	1912.0	382.0	1647.0	724.0	868.0	417.0	730.0	1216.0	191.0	345.0	544.0	1390.0	745.0	1867.0	1039.0	912.0	319.0	715.0	926.0	4069.0	213.0	78928.2	991869.0	1361014.880765
sub-NDARGG205WVN_acq-HCP_T1w	649.0	1463.0	1047.0	913.0	458.0	1460.0	1048.0	966.0	362.0	166.0	1422.0	898.0	225.0	792.0	2855.0	4475.0	428.0	438.0	1495.0	987.0	1184.0	2086.0	913.0	1426.0	1397.0	2013.0	2182.0	1557.0	1724.0	2049.0	586.0	167.0	277.0	1387.0	436.0	618.0	1612.0	1598.0	185.0	316.0	788.0	1387.0	1047.0	1746.0	2138.0	847.0	317.0	955.0	1139.0	704.0	319.0	1775.0	913.0	1990.0	243.0	1817.0	872.0	965.0	556.0	651.0	1306.0	297.0	383.0	698.0	1637.0	770.0	1969.0	1063.0	1456.0	446.0	805.0	1122.0	3789.0	324.0	83493.2	1071912.0	1402375.779204
sub-NDARGT682ZWN_acq-HCP_T1w	679.0	995.0	1159.0	983.0	543.0	1572.0	834.0	910.0	386.0	286.0	1884.0	943.0	272.0	579.0	2882.0	4965.0	382.0	549.0	1554.0	1411.0	1428.0	2649.0	776.0	1117.0	1941.0	2027.0	1801.0	1387.0	1891.0	1615.0	531.0	397.0	390.0	1551.0	249.0	977.0	1185.0	1354.0	134.0	159.0	1000.0	1431.0	711.0	2739.0	2318.0	819.0	265.0	907.0	1059.0	544.0	382.0	1680.0	901.0	2539.0	264.0	2013.0	738.0	1066.0	518.0	605.0	1428.0	216.0	423.0	575.0	2047.0	701.0	1582.0	1163.0	1009.0	331.0	649.0	884.0	3873.0	207.0	84910.8	1133666.0	1558428.471761
sub-NDARGX443CEU_acq-HCP_T1w	1037.0	1252.0	1119.0	1146.0	530.0	1602.0	733.0	1040.0	413.0	210.0	1350.0	1215.0	243.0	732.0	3263.0	5166.0	461.0	415.0	1907.0	1142.0	1436.0	1983.0	698.0	1788.0	1857.0	2469.0	2753.0	1330.0	1714.0	1941.0	718.0	494.0	389.0	1665.0	622.0	917.0	2591.0	2105.0	226.0	249.0	823.0	1320.0	1341.0	1690.0	2169.0	803.0	279.0	1091.0	1258.0	829.0	356.0	1850.0	1281.0	2475.0	299.0	3001.0	1040.0	1141.0	692.0	956.0	1668.0	315.0	643.0	1211.0	1788.0	873.0	2421.0	1283.0	1129.0	612.0	782.0	1230.0	4209.0	310.0	96095.1	1261658.0	1577828.005671
sub-NDARHB764VZ2_acq-HCP_T1w	944.0	1160.0	1034.0	1140.0	607.0	1439.0	802.0	903.0	520.0	177.0	1651.0	1210.0	311.0	924.0	3591.0	5047.0	537.0	634.0	1547.0	1340.0	1231.0	2815.0	1108.0	1710.0	2012.0	2017.0	2910.0	1574.0	1887.0	2789.0	609.0	272.0	315.0	1392.0	553.0	797.0	2207.0	1748.0	280.0	246.0	760.0	1521.0	1151.0	2328.0	2531.0	914.0	373.0	959.0	1268.0	826.0	391.0	1749.0	1365.0	2255.0	295.0	2633.0	891.0	1189.0	435.0	584.0	1627.0	344.0	513.0	1161.0	1623.0	939.0	2465.0	1440.0	1159.0	563.0	1010.0	1078.0	4145.0	382.0	96855.5	1303469.0	1564848.054183
sub-NDARHM475DC5_acq-HCP_T1w	647.0	762.0	1005.0	1077.0	415.0	1514.0	1123.0	1123.0	420.0	227.0	1359.0	766.0	281.0	802.0	3065.0	4709.0	509.0	503.0	1383.0	853.0	1108.0	2005.0	739.0	1560.0	2052.0	2037.0	2198.0	1711.0	1618.0	1760.0	588.0	494.0	413.0	1251.0	526.0	690.0	1998.0	1671.0	265.0	207.0	667.0	1145.0	1071.0	1462.0	2401.0	751.0	331.0	1056.0	1251.0	568.0	367.0	1586.0	1161.0	2250.0	544.0	2414.0	479.0	956.0	393.0	746.0	1388.0	336.0	402.0	888.0	1301.0	940.0	2424.0	1230.0	690.0	650.0	839.0	1102.0	4513.0	299.0	86033.5	1100259.0	1470740.881718
sub-NDARJW989EM6_acq-HCP_T1w	887.0	1200.0	1066.0	1254.0	603.0	1491.0	789.0	960.0	393.0	210.0	1581.0	976.0	270.0	818.0	3461.0	4937.0	528.0	604.0	1667.0	1096.0	1492.0	2454.0	867.0	1745.0	1959.0	2300.0	2331.0	1949.0	1869.0	2233.0	671.0	361.0	363.0	1479.0	597.0	749.0	1960.0	1967.0	210.0	209.0	817.0	1329.0	1165.0	2043.0	2396.0	909.0	389.0	986.0	1252.0	563.0	494.0	1465.0	878.0	2119.0	368.0	2783.0	894.0	1074.0	604.0	801.0	1909.0	303.0	503.0	929.0	1381.0	981.0	2979.0	1033.0	1058.0	585.0	861.0	1194.0	4607.0	253.0	94459.9	1293225.0	1611699.776622
sub-NDARJX121GKP_acq-HCP_T1w	502.0	830.0	973.0	1260.0	489.0	1374.0	847.0	838.0	312.0	203.0	713.0	884.0	241.0	627.0	2014.0	3855.0	484.0	546.0	1234.0	709.0	865.0	1510.0	837.0	1121.0	1558.0	1974.0	1815.0	1673.0	1842.0	1342.0	506.0	346.0	318.0	1170.0	441.0	508.0	1414.0	2012.0	104.0	120.0	685.0	960.0	971.0	1389.0	1821.0	484.0	270.0	813.0	920.0	592.0	202.0	1008.0	589.0	1404.0	135.0	1431.0	313.0	651.0	357.0	517.0	964.0	133.0	323.0	376.0	963.0	878.0	1606.0	1161.0	823.0	327.0	500.0	734.0	3210.0	336.0	68258.9	986661.0	1535692.15226
