rh.aparc.a2009s.thickness	rh_G&S_frontomargin_thickness	rh_G&S_occipital_inf_thickness	rh_G&S_paracentral_thickness	rh_G&S_subcentral_thickness	rh_G&S_transv_frontopol_thickness	rh_G&S_cingul-Ant_thickness	rh_G&S_cingul-Mid-Ant_thickness	rh_G&S_cingul-Mid-Post_thickness	rh_G_cingul-Post-dorsal_thickness	rh_G_cingul-Post-ventral_thickness	rh_G_cuneus_thickness	rh_G_front_inf-Opercular_thickness	rh_G_front_inf-Orbital_thickness	rh_G_front_inf-Triangul_thickness	rh_G_front_middle_thickness	rh_G_front_sup_thickness	rh_G_Ins_lg&S_cent_ins_thickness	rh_G_insular_short_thickness	rh_G_occipital_middle_thickness	rh_G_occipital_sup_thickness	rh_G_oc-temp_lat-fusifor_thickness	rh_G_oc-temp_med-Lingual_thickness	rh_G_oc-temp_med-Parahip_thickness	rh_G_orbital_thickness	rh_G_pariet_inf-Angular_thickness	rh_G_pariet_inf-Supramar_thickness	rh_G_parietal_sup_thickness	rh_G_postcentral_thickness	rh_G_precentral_thickness	rh_G_precuneus_thickness	rh_G_rectus_thickness	rh_G_subcallosal_thickness	rh_G_temp_sup-G_T_transv_thickness	rh_G_temp_sup-Lateral_thickness	rh_G_temp_sup-Plan_polar_thickness	rh_G_temp_sup-Plan_tempo_thickness	rh_G_temporal_inf_thickness	rh_G_temporal_middle_thickness	rh_Lat_Fis-ant-Horizont_thickness	rh_Lat_Fis-ant-Vertical_thickness	rh_Lat_Fis-post_thickness	rh_Pole_occipital_thickness	rh_Pole_temporal_thickness	rh_S_calcarine_thickness	rh_S_central_thickness	rh_S_cingul-Marginalis_thickness	rh_S_circular_insula_ant_thickness	rh_S_circular_insula_inf_thickness	rh_S_circular_insula_sup_thickness	rh_S_collat_transv_ant_thickness	rh_S_collat_transv_post_thickness	rh_S_front_inf_thickness	rh_S_front_middle_thickness	rh_S_front_sup_thickness	rh_S_interm_prim-Jensen_thickness	rh_S_intrapariet&P_trans_thickness	rh_S_oc_middle&Lunatus_thickness	rh_S_oc_sup&transversal_thickness	rh_S_occipital_ant_thickness	rh_S_oc-temp_lat_thickness	rh_S_oc-temp_med&Lingual_thickness	rh_S_orbital_lateral_thickness	rh_S_orbital_med-olfact_thickness	rh_S_orbital-H_Shaped_thickness	rh_S_parieto_occipital_thickness	rh_S_pericallosal_thickness	rh_S_postcentral_thickness	rh_S_precentral-inf-part_thickness	rh_S_precentral-sup-part_thickness	rh_S_suborbital_thickness	rh_S_subparietal_thickness	rh_S_temporal_inf_thickness	rh_S_temporal_sup_thickness	rh_S_temporal_transverse_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-NDARCR576EV1_acq-HCP_run-02_T1w	2.568	2.913	2.505	2.771	2.633	2.866	2.871	2.759	3.44	3.079	1.988	3.077	2.978	3.103	2.883	3.203	4.036	3.91	2.624	2.395	2.965	2.344	3.374	3.009	3.087	3.026	2.703	2.334	2.824	2.973	2.536	2.619	2.6	3.432	3.254	2.785	3.387	3.345	2.352	2.63	2.747	1.971	3.357	2.107	1.988	2.736	2.714	3.016	2.834	2.648	2.278	2.423	2.538	2.503	2.722	2.445	2.091	2.237	2.142	2.621	2.64	2.239	2.374	2.716	2.535	2.554	2.305	2.628	2.661	2.053	2.745	2.939	2.806	2.267	2.72952	1063763.0	1291548.521728
sub-NDARAV610EY3_acq-HCP_T1w	2.452	2.692	2.471	2.656	2.547	3.062	3.206	3.013	3.216	2.585	1.962	3.112	3.06	2.704	2.841	3.057	2.972	3.618	2.825	2.348	3.135	2.401	3.112	2.829	2.857	2.957	2.481	2.053	2.574	2.744	2.705	2.765	2.706	3.106	3.228	3.086	3.13	3.285	2.136	2.42	2.913	2.121	3.184	2.226	2.049	2.717	3.159	2.995	2.751	2.595	2.402	2.438	2.318	2.6	2.805	2.419	2.427	2.307	2.442	2.546	2.682	1.888	2.23	2.574	2.454	2.091	2.438	2.449	2.615	2.139	2.685	2.615	2.842	2.843	2.6875	1448020.0	1850641.112263
sub-NDARAX283MAK_acq-HCP_T1w	2.64	2.83	2.721	3.197	2.685	3.147	3.226	2.946	3.24	3.075	2.123	3.279	3.649	3.394	3.069	3.269	3.506	3.24	2.691	2.524	3.13	2.514	3.194	3.183	3.011	3.234	2.651	2.029	2.945	2.993	2.965	2.449	2.641	3.731	3.5	2.829	2.921	3.646	2.749	3.006	2.923	1.904	3.525	2.402	2.044	2.672	3.552	2.61	3.067	2.869	2.314	2.693	2.388	2.804	2.875	2.55	2.467	2.382	2.667	2.663	2.756	2.67	2.628	3.147	2.604	1.646	2.605	2.942	2.754	2.691	2.901	3.168	3.081	2.806	2.83484	1088453.0	1410314.221605
sub-NDARCX053GU5_acq-HCP_T1w	2.625	2.573	2.71	3.066	2.773	3.025	3.123	2.996	3.386	3.07	2.263	3.163	3.109	3.211	3.178	3.363	3.711	3.868	2.735	2.443	3.164	2.555	3.136	2.434	3.328	3.457	2.889	2.665	2.991	3.005	2.975	3.128	3.14	3.324	3.641	3.197	3.066	3.573	1.986	3.283	2.936	2.273	3.057	2.344	2.272	2.961	3.628	2.975	2.694	2.622	2.535	2.497	2.566	2.688	2.713	2.868	2.364	2.613	2.957	2.657	2.859	2.062	2.256	2.526	2.906	1.835	2.773	2.612	2.69	3.74	2.982	2.767	2.964	3.032	2.88699	1071105.0	1421026.910676
sub-NDAREG013BLG_acq-HCP_T1w	2.762	2.839	2.69	3.175	2.597	3.144	3.16	3.056	3.143	3.088	1.89	3.283	2.995	3.129	3.132	3.418	3.592	3.663	2.769	2.488	3.029	2.228	3.194	3.2	2.9	2.957	2.639	2.602	3.09	2.552	2.982	2.119	2.82	3.775	3.76	3.05	3.301	3.488	2.921	2.839	2.76	2.013	3.412	2.133	2.072	2.594	3.112	3.104	3.081	2.713	2.441	2.499	2.448	2.798	2.503	2.277	2.164	2.382	2.573	2.744	2.762	2.107	2.875	2.659	2.451	1.877	2.549	2.741	2.97	2.669	2.578	2.557	2.857	2.938	2.7847	1213739.0	1548960.234395
sub-NDAREG590BNY_acq-HCP_T1w	2.725	2.868	2.369	3.036	2.838	2.94	3.097	3.105	3.416	3.311	1.892	3.268	3.268	3.184	2.454	2.872	3.811	3.038	2.748	2.004	3.196	2.249	3.124	3.134	3.111	2.992	2.51	2.539	2.073	2.804	2.773	2.438	2.561	2.893	3.116	3.068	2.9	3.42	2.53	3.32	2.682	1.755	2.873	2.068	2.318	2.681	3.018	2.693	3.096	2.858	2.447	2.207	2.142	2.459	2.582	2.458	2.313	2.392	2.689	2.728	2.739	2.172	2.405	2.939	2.168	2.286	2.651	2.441	2.021	2.691	2.831	2.871	2.703	2.834	2.63907	1152727.0	1404241.55241
sub-NDAREW661NZJ_acq-HCP_T1w	3.725	2.295	2.315	2.65	2.96	3.399	2.982	2.773	3.211	2.894	2.324	2.525	3.087	2.627	2.678	3.023	2.882	2.537	2.954	2.356	2.661	2.447	2.906	2.696	2.561	2.667	2.257	2.377	2.49	2.587	2.803	2.045	2.513	3.098	2.551	2.657	2.491	2.64	2.967	3.121	2.85	2.14	3.032	2.139	2.053	2.439	2.779	2.799	2.868	3.684	2.699	2.555	2.289	2.356	2.267	2.404	2.325	2.363	2.349	2.481	2.483	3.018	2.691	3.124	2.324	1.859	2.338	2.439	2.427	3.232	2.657	2.388	2.75	2.752	2.58115	977075.0	1408955.048901
sub-NDAREX065KJU_acq-HCP_T1w	2.641	2.813	2.119	2.698	2.918	3.043	3.042	2.931	3.399	2.944	1.894	2.771	3.081	3.035	2.783	2.775	3.34	3.26	2.622	1.963	2.622	2.122	3.459	2.878	2.542	2.4	2.315	1.767	2.236	2.883	3.155	2.472	2.422	2.702	2.867	2.301	2.501	3.148	2.649	2.554	2.783	1.904	3.311	1.95	1.961	2.479	3.377	2.667	2.741	2.256	2.483	2.456	2.511	2.6	2.459	2.383	1.968	2.13	2.348	2.324	2.632	2.613	2.131	2.542	2.326	2.064	2.179	2.597	2.063	2.445	2.736	2.517	2.696	2.999	2.52813	991869.0	1361014.880765
sub-NDARGG205WVN_acq-HCP_T1w	2.577	3.072	2.443	2.863	2.958	3.072	2.99	2.921	3.494	2.67	2.18	3.133	3.524	3.099	2.992	3.048	4.03	3.301	2.771	2.521	2.898	2.188	3.076	2.721	2.987	2.905	2.576	2.29	2.88	2.846	2.543	2.857	2.843	3.132	3.262	2.829	2.719	3.35	2.697	2.763	2.776	2.274	3.086	2.276	1.863	2.598	3.217	2.995	3.015	2.654	2.514	2.556	2.416	2.571	2.64	2.431	2.619	2.339	2.745	2.542	2.621	2.481	2.396	2.596	2.455	1.684	2.437	2.748	2.668	2.584	2.679	2.703	2.813	3.209	2.71065	1071912.0	1402375.779204
sub-NDARGT682ZWN_acq-HCP_T1w	2.508	2.66	2.437	3.03	3.15	3.369	3.019	3.039	3.478	2.727	2.127	3.159	3.253	2.909	2.574	2.994	3.837	3.918	2.827	2.197	3.034	2.228	3.216	3.617	3.084	3.14	2.445	2.24	3.065	2.825	3.439	2.033	2.875	3.504	2.947	2.821	2.778	3.182	3.056	2.815	3.296	1.936	2.888	1.883	2.019	2.521	3.649	3.303	3.175	2.456	2.717	2.467	2.403	2.505	2.603	2.379	2.129	2.24	2.776	2.648	2.502	2.606	2.342	3.286	2.382	2.821	2.282	2.896	2.645	2.604	2.711	2.48	3.089	2.368	2.72444	1133666.0	1558428.471761
